Erster	ADJA	erst
Auftritt	NN	Auftritt
Leander	NE	Leander
.	$.	.
Staleno	NE	Staleno
.	$.	.
STALENO	NE	STALENO
.	$.	.
Ei	NE	ei
!	$.	!
Leander	NE	Leander
,	$,	,
so	ADV	so
jung	ADJD	jung
,	$,	,
und	KON	und
Er	PPER	er
hat	VAFIN	haben
sich	PRF	sich
schon	ADV	schon
ein	ART	eine
Mädchen	NN	Mädchen
ausgesehen	VVPP	aussehen
?	$.	?
LEANDER	NE	Leander
.	$.	.
Das	PDS	die
wird	VAFIN	werden
dem	ART	die
Mädchen	NN	Mädchen
eben	ADV	eben
lieb	ADJD	lieb
sein	VAINF	sein
,	$,	,
daß	KOUS	dass
ich	PPER	ich
jung	ADJD	jung
bin	VAFIN	sein
.	$.	.
Und	KON	und
wie	KOKOM	wie
jung	ADJD	jung
denn	ADV	denn
?	$.	?
Wenn	KOUS	wenn
ich	PPER	ich
noch	ADV	noch
einmal	ADV	einmal
so	ADV	so
alt	ADJD	alt
wäre	VAFIN	sein
,	$,	,
so	ADV	so
könnte	VMFIN	können
ich	PPER	ich
schon	ADV	schon
Kinder	NN	Kind
haben	VAFIN	haben
,	$,	,
die	PRELS	die
so	ADV	so
alt	ADJD	alt
wären	VAFIN	sein
als	KOKOM	als
ich	PPER	ich
.	$.	.
STALENO	NE	STALENO
.	$.	.
Und	KON	und
das	ART	die
Mädchen	NN	Mädchen
soll	VMFIN	sollen
ich	PPER	ich
Ihm	PPER	er|es
zufreien	VVFIN	zufreien
?	$.	?
LEANDER	NE	Leander
.	$.	.
Ja	PTKANT	ja
,	$,	,
mein	PPOSAT	mein
lieber	ADJA	lieb
Herr	NN	Herr
Vormund	NN	Vormund
,	$,	,
wenn	KOUS	wenn
Sie	PPER	Sie
wollten	VMFIN	wollen
so	ADV	so
gut	ADJD	gut
sein	VAINF	sein
.	$.	.
STALENO	NE	STALENO
.	$.	.
Lieber	ADJA	lieb
Herr	NN	Herr
Vormund	NN	Vormund
!	$.	!
das	PDS	die
habe	VAFIN	haben
ich	PPER	ich
lange	ADV	lange
nicht	PTKNEG	nicht
gehört	VVPP	gehören|hören
!	$.	!
Wenn	KOUS	wenn
Sie	PPER	Sie
wollten	VMFIN	wollen
so	ADV	so
gut	ADJD	gut
sein	VAINF	sein
!	$.	!
Wie	KOUS	wie
höflich	ADJD	höflich
man	PIS	man
doch	ADV	doch
gleich	ADJD	gleich
wird	VAFIN	werden
,	$,	,
wenn	KOUS	wenn
man	PIS	man
verliebt	VVPP	verlieben
ist	VAFIN	sein
!	$.	!
–	ADJA	–
–	NN	–
Aber	KON	aber
was	PIS	was
ist	VAFIN	sein
es	PPER	es
denn	ADV	denn
für	APPR	für
ein	ART	eine
Mädchen	NN	Mädchen
?	$.	?
das	PDS	die
hat	VAFIN	haben
Er	PPER	er
mir	PRF	ich
ja	ADV	ja
noch	ADV	noch
nicht	PTKNEG	nicht
gesagt	VVPP	sagen
.	$.	.
LEANDER	NE	Leander
.	$.	.
Ein	ART	eine
allerliebstes	ADJA	allerlieb
Mädchen	NN	Mädchen
.	$.	.
STALENO	NE	STALENO
.	$.	.
Hat	VAFIN	haben
sie	PPER	sie
Geld	NN	Geld
?	$.	?
Was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Sie	PPER	Sie
ist	VAFIN	sein
die	ART	die
Schönheit	NN	Schönheit
selbst	ADV	selbst
;	$.	;
und	KON	und
unschuldig	ADJD	unschuldig
dabei	PAV	dabei
,	$,	,
–	ADJA	–
–	NN	–
so	ADV	so
unschuldig	ADJD	unschuldig
,	$,	,
als	KOKOM	als
ich	PPER	ich
.	$.	.
STALENO	NE	STALENO
.	$.	.
Spricht	VVFIN	sprechen
sie	PPER	sie
auch	ADV	auch
schon	ADV	schon
von	APPR	von
Kindern	NN	Kind
,	$,	,
die	PRELS	die
sie	PPER	sie
haben	VAINF	haben
könnte	VMFIN	können
?	$.	?
–	ADJA	–
–	NN	–
Aber	KON	aber
sage	VVFIN	sagen
Er	PPER	er
mir	PPER	ich
,	$,	,
was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Wenn	KOUS	wenn
Sie	PPER	Sie
sie	PPER	sie
sehen	VVINF	sehen
sollten	VMFIN	sollen
,	$,	,
Sie	PPER	Sie
würden	VAFIN	werden
sich	PRF	sich
selbst	ADV	selbst
in	APPR	in
sie	PPER	sie
verlieben	VVINF	verlieben
.	$.	.
Ein	ART	eine
rundes	ADJA	rund
,	$,	,
volles	ADJA	voll
Gesicht	NN	Gesicht
,	$,	,
das	PRELS	die
aber	ADV	aber
gar	ADV	gar
nichts	PIAT	nichts
Kindisches	NN	Kindische
mehr	ADV	mehr
hat	VAFIN	haben
;	$.	;
ein	ART	eine
Gewächse	NN	Gewächs
,	$,	,
wie	KOUS	wie
ein	ART	eine
Rohr	NN	Rohr
–	ADJA	–
–	NN	–
STALENO	NE	STALENO
.	$.	.
Und	KON	und
was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Wie	KOUS	wie
ein	ART	eine
Rohr	NN	Rohr
so	ADV	so
gerade	ADV	gerade
.	$.	.
Und	KON	und
dabei	PAV	dabei
nicht	PTKNEG	nicht
hager	ADJD	hager
;	$.	;
aber	KON	aber
auch	ADV	auch
nicht	PTKNEG	nicht
dicke	ADJA	dick
.	$.	.
Sie	PPER	Sie
wissen	VVFIN	wissen
wohl	ADV	wohl
,	$,	,
Herr	NN	Herr
Vormund	NN	Vormund
,	$,	,
beides	PIS	beide
muß	VMFIN	müssen
nicht	PTKNEG	nicht
sein	VAINF	sein
,	$,	,
wenn	KOUS	wenn
ein	ART	eine
Frauenzimmer	NN	Frauenzimmer
schön	ADJD	schön
sein	VAINF	sein
soll	VMFIN	sollen
.	$.	.
STALENO	NE	STALENO
.	$.	.
Und	KON	und
was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Sie	PPER	Sie
weiß	VVFIN	wissen
sich	PRF	sich
zu	PTKZU	zu
tragen	VVINF	tragen
,	$,	,
ah	ITJ	ah
!	$.	!
auf	APPR	auf
eine	ART	eine
Art	NN	Art
,	$,	,
liebster	ADJA	lieb
Herr	NN	Herr
Staleno	NE	Staleno
,	$,	,
auf	APPR	auf
eine	ART	eine
Art	NN	Art
–	ADJD	–
–	ADJA	–
Und	KON	und
ich	PPER	ich
versichre	VVFIN	versichre
Sie	PPER	Sie
,	$,	,
sie	PPER	sie
hat	VAFIN	haben
nicht	PTKNEG	nicht
tanzen	VVFIN	tanzen
gelernt	VVPP	lernen
;	$.	;
es	PPER	es
ist	VAFIN	sein
ihr	PPER	ihr
natürlich	ADV	natürlich
.	$.	.
STALENO	NE	STALENO
.	$.	.
Und	KON	und
was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Wenn	KOUS	wenn
ihr	PPER	ihr
Gesichte	NN	Gesicht
auch	ADV	auch
das	ART	die
schönste	ADJA	schön
ganz	ADJD	ganz
und	KON	und
gar	ADV	gar
nicht	PTKNEG	nicht
wäre	VAFIN	sein
,	$,	,
so	ADV	so
würden	VAFIN	werden
sie	PPER	sie
doch	ADV	doch
schon	ADV	schon
ihre	PPOSAT	ihr
Manieren	NN	Manier
zu	APPR	zu
der	ART	die
angenehmsten	ADJA	angenehm
Person	NN	Person
unter	APPR	unter
der	ART	die
Sonne	NN	Sonne
machen	VVINF	machen
.	$.	.
Ich	PPER	ich
kann	VMFIN	können
nicht	PTKNEG	nicht
begreifen	VVINF	begreifen
,	$,	,
wer	PWS	wer
sie	PPER	sie
ihr	PPER	ihr
muß	VMFIN	müssen
gewiesen	VVPP	weisen
haben	VAFIN	haben
.	$.	.
STALENO	NE	STALENO
.	$.	.
O	NN	O
!	$.	!
so	ADV	so
höre	VVFIN	hören
Er	PPER	er
doch	ADV	doch
!	$.	!
Nach	APPR	nach
ihrer	PPOSAT	ihr
Aussteuer	NN	Aussteuer
frage	VVFIN	fragen
ich	PPER	ich
;	$.	;
was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Und	KON	und
sprechen	VVFIN	sprechen
–	ADJA	–
–	NN	–
sprechen	VVINF	sprechen
kann	VMFIN	können
sie	PPER	sie
wie	KOKOM	wie
ein	ART	eine
Engel	NN	Engel
–	NN	–
STALENO	NE	STALENO
.	$.	.
Was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Sie	PPER	Sie
werden	VAFIN	werden
schwerlich	ADJD	schwerlich
mehr	PIAT	mehr
Verstand	NN	Verstand
und	KON	und
Tugend	NN	Tugend
bei	APPR	bei
irgend	ADV	irgend
einer	ART	eine
Person	NN	Person
ihres	PPOSAT	ihr
Geschlechts	NN	Geschlecht
antreffen	VVINF	antreffen
,	$,	,
als	KOUS	als
bei	APPR	bei
ihr	PPOSAT	ihr
–	ADJA	–
–	NN	–
STALENO	NE	STALENO
.	$.	.
Gut	ADJD	gut
!	$.	!
alles	PIAT	alle
gut	ADJD	gut
!	$.	!
aber	KON	aber
was	PWS	was
kriegt	VVFIN	kriegen
sie	PPER	sie
mit	PTKVZ	mit
?	$.	?
LEANDER	NE	Leander
.	$.	.
Sie	PPER	Sie
ist	VAFIN	sein
über	APPR	über
dieses	PDAT	dies
aus	APPR	aus
