Personen	NN	Person
.	$.	.
Grillhofer	NE	Grillhofer
,	$,	,
ein	ART	eine
reicher	ADJA	reich
Bauer	NE	Bauer
Nikodemi	NE	Nikodemi
Dusterer	NN	Dusterer
,	$,	,
sein	PPOSAT	sein
Schwager	NN	Schwager
Wastl	NE	Wastl
,	$,	,
Michl	NE	Michl
,	$,	,
Rosl	NE	Rosl
,	$,	,
Annemirl	NE	Annemirl
,	$,	,
Dienstleute	NN	Dienstleute
bei	APPR	bei
Grillhofer	NE	Grillhofer
Die	ART	die
Horlacher-Lies	ADJA	Horlacher-Lies
Leonhardt	NE	Leonhardt
,	$,	,
Fuhrknecht	NN	Fuhrknecht
Poltner	NN	Poltner
,	$,	,
der	PRELS	die
Bauer	NE	Bauer
an	APPR	an
der	ART	die
»	ADJA	»
Kahlen	NN	Kahle
Lehnten	VVFIN	lehnen
«	NN	«
Sein	PPOSAT	sein
Weib	NN	Weib
Natzl	NE	Natzl
,	$,	,
Hans	NE	Hans
,	$,	,
deren	PRELAT	die
Söhne	NN	Sohn
Knechte	NN	Knecht
und	KON	und
Mägde	NN	Magd
im	APPRART	in
Grillhoferschen	NN	Grillhoferschen
Hause	NN	Haus
.	$.	.
Erster	ADJA	erst
Akt	NN	Akt
Wohlhäbige	ADJA	Wohlhäbige
Bauernstube	NN	Bauernstube
.	$.	.
Hintergrund	NN	Hintergrund
links	ADV	links
ein	ART	eine
Doppelfenster	NN	Doppelfenster
,	$,	,
rechts	ADV	rechts
der	ART	die
Haupteingang	NN	Haupteingang
.	$.	.
Rechte	ADJA	recht
Seite	NN	Seite
Fenster	NN	Fenster
,	$,	,
links	ADV	links
eine	ART	eine
Seitentür	NN	Seitentür
.	$.	.
Vorne	ADV	vorne
gegen	APPR	gegen
links	ADV	links
ein	ART	eine
Tisch	NN	Tisch
mit	APPR	mit
mehreren	PIAT	mehrere
Stühlen	NN	Stuhl
,	$,	,
gegen	APPR	gegen
die	ART	die
Wand	NN	Wand
ein	ART	eine
mit	APPR	mit
Leder	NN	Leder
überzogener	ADJA	überzogen
Sorgenstuhl	NN	Sorgenstuhl
,	$,	,
an	APPR	an
dessen	PRELAT	die
Rückenlehne	NN	Rückenlehne
ein	ART	eine
Bettpolster	NN	Bettpolster
.	$.	.
Wie	KOUS	wie
der	ART	die
Vorhang	NN	Vorhang
aufgeht	VVFIN	aufgehen
,	$,	,
ist	VAFIN	sein
die	ART	die
Bühne	NN	Bühne
leer	ADJD	leer
.	$.	.
Auf	APPR	auf
dem	ART	die
Tische	NN	Tisch
steht	VVFIN	stehen
eine	ART	eine
dampfende	ADJA	dampfend
Schüssel	NN	Schüssel
.	$.	.
Vor	APPR	vor
dem	ART	die
Fenster	NN	Fenster
sieht	VVFIN	sehen
man	PIS	man
Knechte	NN	Knecht
und	KON	und
Mägde	NN	Magd
mit	APPR	mit
Rechen	NN	Rechen
und	KON	und
Heugabeln	NN	Heugabel
vorbeiziehen	VVINF	vorbeiziehen
.	$.	.
Erste	ADJA	erst
Szene	NN	Szene
Knechte	NN	Knecht
und	KON	und
Mägde	NN	Magd
.	$.	.
Chor	NN	Chor
KNECHTE	NN	Knecht
.	$.	.
Glei	ADJA	Glei
is	NE	is
die	ART	die
Sunn	NN	Sunn
am	APPRART	an
Platz	NN	Platz
,	$,	,
Mußt	VMFIN	müssen
dich	PPER	du
halt	ADV	halt
schlaun	ADJD	schlaun
,	$,	,
Sunsten	NN	Sunsten
,	$,	,
mein	PPOSAT	mein
lieber	ADJA	lieb
Schatz	NN	Schatz
,	$,	,
Brennt	VVFIN	brennen
s	NN	s
'	$(	'
dich	PPER	du
ganz	ADV	ganz
braun	ADJD	braun
.	$.	.
MÄGDE	NN	Magd
.	$.	.
Mei	NE	Mei
Bub	NN	Bub
,	$,	,
geh	VVIMP	gehen
,	$,	,
sag	VVIMP	sagen
ma	FM	ma
no	FM	no
.	$.	.
Was	PWS	was
kümmert	VVFIN	kümmern
's	PPER	es
dich	PPER	du
?	$.	?
Die	ART	die
Sunn	NN	Sunn
,	$,	,
die	PRELS	die
brennt	VVFIN	brennen
dich	PPER	du
do	NE	do
Schwärzer	ADJD	schwarz
als	KOKOM	als
mich	PPER	ich
!	$.	!
BEIDE	PIAT	beide
Jodler	NN	Jodler
.	$.	.
Jujujuheh	NE	Jujujuheh
!	$.	!
Ausklingend	ADJD	Ausklingend
.	$.	.
Zweite	ADJA	zweit
Szene	NN	Szene
Von	APPR	von
links	ADV	links
:	$.	:
Rosl	NE	Rosl
ältere	ADJA	alt
Magd	NN	Magd
führt	VVFIN	führen
Grillhofer	NE	Grillhofer
,	$,	,
der	PRELS	die
sich	PRF	sich
leicht	ADJD	leicht
auf	APPR	auf
sie	PPER	sie
stützt	VVFIN	stützen
,	$,	,
herein	PTKVZ	herein
.	$.	.
GRILLHOFER	NE	GRILLHOFER
.	$.	.
Au	ITJ	au
weh	ADJD	weh
!	$.	!
Au	ITJ	au
weh	ADJD	weh
!	$.	!
Hebt	VVFIN	heben
schon	ADV	schon
wieder	ADV	wieder
so	ADV	so
a	FM	a
sakrischer	ADJA	sakrischer
Tag	NN	Tag
an	PTKVZ	an
.	$.	.
ROSL	NE	Rosl
.	$.	.
No	NE	<UNKNOWN>
,	$,	,
kimm	VVFIN	kimm
nur	ADV	nur
,	$,	,
Bauer	NE	Bauer
.	$.	.
Da	ADV	da
steht	VVFIN	stehen
schon	ADV	schon
dein	PPOSAT	dein
Suppen	NN	Suppe
;	$.	;
laß	ADJD	laß
s	NN	s
'	$(	'
nit	ADJD	nit
kalt	ADJD	kalt
werdn	NE	werdn
.	$.	.
GRILLHOFER	NE	GRILLHOFER
.	$.	.
Ah	ITJ	ah
was	PIS	was
–	NN	–
meintswegn	VVFIN	meintswegn
.	$.	.
