Erster	ADJA	erst
Akt	NN	Akt
.	$.	.
Szene	NN	Szene
.	$.	.
Zimmer	NN	Zimmer
des	ART	die
Grafen	NN	Graf
Waldemar	NE	Waldemar
.	$.	.
Im	APPRART	in
Vordergrunde	NN	Vordergrund
rechts	ADV	rechts
und	KON	und
links	ADV	links
Tische	NN	Tisch
und	KON	und
Sessel	NN	Sessel
.	$.	.
Box	NN	Box
,	$,	,
gleich	ADJD	gleich
darauf	PAV	darauf
Gordon	NE	Gordon
.	$.	.
BOX	VVIMP	boxen
schlägt	VVFIN	schlagen
mit	APPR	mit
einem	ART	eine
seidenen	ADJA	seiden
Tuch	NN	Tuch
den	ART	die
Staub	NN	Staub
von	APPR	von
den	ART	die
Sesseln	NN	Sessel
,	$,	,
dem	ART	die
eintretenden	ADJA	eintretend
Gordon	NE	Gordon
lebhaft	ADJD	lebhaft
entgegen	PTKVZ	entgegen
.	$.	.
Nun	ADV	nun
,	$,	,
Gordon	NE	Gordon
,	$,	,
der	ART	die
Herr	NN	Herr
Graf	NE	Graf
hat	VAFIN	haben
schon	ADV	schon
dreimal	ADV	dreimal
nach	APPR	nach
dir	PRF	du
gefragt	VVPP	fragen
;	$.	;
wie	KOUS	wie
steht	VVFIN	stehen
's	PPER	es
mit	APPR	mit
Lovelace	NN	Lovelace
,	$,	,
unserm	PPOSAT	unser
Reitpferd	NN	Reitpferd
?	$.	?
GORDON	NE	Gordon
.	$.	.
Sage	VVFIN	sagen
dem	ART	die
Grafen	NN	Graf
,	$,	,
er	PPER	er
soll	VMFIN	sollen
den	ART	die
Stallbedienten	NN	Stallbedienten
schwarzen	ADJA	schwarz
Trauerflor	NN	Trauerflor
kaufen	VVINF	kaufen
,	$,	,
das	ART	die
beste	ADJA	gut
Pferd	NN	Pferd
der	ART	die
Residenz	NN	Residenz
geht	VVFIN	gehen
zum	APPRART	zu
Teufel	NN	Teufel
.	$.	.
BOX	VVIMP	boxen
.	$.	.
So	ADV	so
ist	VAFIN	sein
keine	PIAT	keine
Hilfe	NN	Hilfe
?	$.	?
GORDON	NE	Gordon
.	$.	.
Wie	KOUS	wie
soll	VMFIN	sollen
man	PIS	man
helfen	VVINF	helfen
,	$,	,
wenn	KOUS	wenn
der	ART	die
Leib	NN	Leib
aufgerissen	VVPP	aufreißen
ist	VAFIN	sein
wie	KOKOM	wie
eine	ART	eine
lecke	ADJA	leck
Tonne	NN	Tonne
?	$.	?
Das	ART	die
