[	$(	[
Stücktext	NN	Stücktext
]	$(	]
Wirtsstube	NN	Wirtsstube
»	NN	»
Zum	APPRART	zu
grünen	ADJA	grün
Kakadu	NN	Kakadu
«	ADJD	«
.	$.	.
Ein	ART	eine
nicht	PTKNEG	nicht
großer	ADJA	groß
Kellerraum	NN	Kellerraum
,	$,	,
zu	APPR	zu
welchem	PRELS	welche
rechts	ADV	rechts
–	ADJD	–
ziemlich	ADV	ziemlich
weit	ADJD	weit
hintensieben	ADJA	hintensieben
Stufen	NN	Stufe
führen	VVINF	führen
,	$,	,
die	PRELS	die
nach	APPR	nach
oben	ADV	oben
durch	APPR	durch
eine	ART	eine
Tür	NN	Türe
abgeschlossen	VVPP	abschließen
sind	VAFIN	sein
.	$.	.
Eine	ART	eine
zweite	ADJA	zweit
Tür	NN	Türe
,	$,	,
welche	PRELS	welche
kaum	ADV	kaum
sichtbar	ADJD	sichtbar
ist	VAFIN	sein
,	$,	,
befindet	VVFIN	befinden
sich	PRF	sich
im	APPRART	in
Hintergrunde	NN	Hintergrund
links	ADV	links
.	$.	.
Eine	ART	eine
Anzahl	NN	Anzahl
von	APPR	von
einfachen	ADJA	einfach
hölzernen	ADJA	hölzern
Tischen	NN	Tisch
,	$,	,
um	KOUI	um
diese	PDAT	dies
Sessel	NN	Sessel
,	$,	,
füllen	VVFIN	füllen
beinahe	ADV	beinahe
den	ART	die
ganzen	ADJA	ganz
Raum	NN	Raum
aus	PTKVZ	aus
.	$.	.
Links	ADV	links
in	APPR	in
der	ART	die
Mitte	NN	Mitte
der	ART	die
Schanktisch	NN	Schanktisch
;	$.	;
hinter	APPR	hinter
demselben	PDAT	dieselb
eine	ART	eine
Anzahl	NN	Anzahl
Fässer	NN	Fass
mit	APPR	mit
Pipen	NN	Pipen
.	$.	.
Das	ART	die
Zimmer	NN	Zimmer
ist	VAFIN	sein
durch	APPR	durch
Öllämpchen	NN	Öllämpchen
beleuchtet	VVPP	beleuchten
,	$,	,
die	PRELS	die
von	APPR	von
der	ART	die
Decke	NN	Decke
herabhängen	VVINF	herabhängen
.	$.	.
Der	ART	die
Wirt	NN	Wirt
Prospere	NN	Prospere
;	$.	;
es	PPER	es
treten	VVFIN	treten
ein	ART	eine
die	ART	die
Bürger	NN	Bürger
Lebret	NN	Lebret
und	KON	und
Grasset	NN	Grasset
.	$.	.
GRASSET	NN	Grasset
noch	ADV	noch
auf	APPR	auf
den	ART	die
Stufen	NN	Stufe
.	$.	.
Hier	ADV	hier
herein	ADV	herein
,	$,	,
Lebrêt	NN	Lebrêt
;	$.	;
die	ART	die
Quelle	NN	Quelle
kenn	VVIMP	kennen
'	$(	'
ich	PPER	ich
.	$.	.
Mein	PPOSAT	mein
alter	ADJA	alt
Freund	NN	Freund
und	KON	und
Direktor	NN	Direktor
hat	VAFIN	haben
immer	ADV	immer
noch	ADV	noch
irgendwo	ADV	irgendwo
ein	ART	eine
Faß	NN	Fass
Wein	NN	Wein
versteckt	VVPP	verstecken
,	$,	,
auch	ADV	auch
wenn	KOUS	wenn
ganz	ADV	ganz
Paris	NE	Paris
verdurstet	VVPP	verdursten
.	$.	.
WIRT	NN	Wirt
.	$.	.
Guten	ADJA	gut
Abend	NN	Abend
,	$,	,
Grasset	NN	Grasset
.	$.	.
Läßt	VVFIN	lassen
du	PPER	du
dich	PPER	du
wieder	ADV	wieder
einmal	ADV	einmal
blicken	VVINF	blicken
?	$.	?
Aus	APPR	aus
mit	APPR	mit
der	ART	die
Philosophie	NN	Philosophie
?	$.	?
Hast	VAFIN	haben
du	PPER	du
Lust	NN	Lust
,	$,	,
wieder	ADV	wieder
bei	APPR	bei
mir	PPER	ich
Engagement	NN	Engagement
zu	PTKZU	zu
nehmen	VVINF	nehmen
?	$.	?
GRASSET	NN	Grasset
.	$.	.
Ja	ADV	ja
freilich	ADV	freilich
!	$.	!
Wein	NN	Wein
sollst	VMFIN	sollen
du	PPER	du
bringen	VVINF	bringen
.	$.	.
Ich	PPER	ich
bin	VAFIN	sein
der	ART	die
Gast	NN	Gast
–	VVFIN	–
du	PPER	du
der	ART	die
Wirt	NN	Wirt
.	$.	.
WIRT	NN	Wirt
.	$.	.
Wein	NN	Wein
?	$.	?
Woher	PWAV	woher
soll	VMFIN	sollen
ich	PPER	ich
Wein	NN	Wein
nehmen	VVINF	nehmen
,	$,	,
Grasset	NN	Grasset
?	$.	?
Heut	ADV	heute
nacht	PTKVZ	nacht
haben	VAFIN	haben
sie	PPER	sie
ja	ADV	ja
alle	PIAT	alle
Weinläden	NN	Weinläden
von	APPR	von
Paris	NE	Paris
ausgeplündert	VVPP	ausplündern
.	$.	.
Und	KON	und
ich	PPER	ich
